Sample,Analyte,Element,HT, ,units,rep,1/4/2023,11:33:08
171944-7,1,S,1,11.31,mg/L,1,1/4/2023,12:02:56
171944-7,1,Sc,1,Uncal,mg/L,1,1/4/2023,12:02:56
171944-7,1,Si,1,0.602,mg/L,1,1/4/2023,12:02:56
171944-7,1,Sn,1,0.007,mg/L,1,1/4/2023,12:02:56
171944-7,1,Sr,1,0.76,mg/L,1,1/4/2023,12:02:56
171944-7,1,Ti,1,0.934,mg/L,1,1/4/2023,12:02:56
171944-7,1,V,1,0.081,mg/L,1,1/4/2023,12:02:56
171944-7,1,W,1,0.028,mg/L,1,1/4/2023,12:02:56
171944-7,1,Zn,1,0.6390,mg/L,1,1/4/2023,12:02:56
171944-14,1,Ag,1,0.001,mg/L,1,1/4/2023,12:05:38
171944-14,1,Al,1,28.900,mg/L,1,1/4/2023,12:05:38
171944-14,1,Au,1,Uncal,mg/L,1,1/4/2023,12:05:38
171944-14,1,B,1,0.527,mg/L,1,1/4/2023,12:05:38
171944-14,1,Ba,1,0.4390,mg/L,1,1/4/2023,12:05:38
171944-14,1,Be,1,0.000,mg/L,1,1/4/2023,12:05:38
171944-14,1,Ca,1,134.000,mg/L,1,1/4/2023,12:05:38
171944-14,1,Co,1,0.0205,mg/L,1,1/4/2023,12:05:38
171944-14,1,Cr,1,0.3670,mg/L,1,1/4/2023,12:05:38
171944-14,1,Cu,1,0.300,mg/L,1,1/4/2023,12:05:38
171944-14,1,Fe,1,34.200,mg/L,1,1/4/2023,12:05:38
171944-14,1,K,1,79.11,mg/L,1,1/4/2023,12:05:38
171944-14,1,La,1,Uncal,mg/L,1,1/4/2023,12:05:38
171944-14,1,Mg,1,24.46,mg/L,1,1/4/2023,12:05:38
171944-14,1,Mn,1,1.740,mg/L,1,1/4/2023,12:05:38
171944-14,1,Mo,1,0.014,mg/L,1,1/4/2023,12:05:38
171944-14,1,Na,1,29.75,mg/L,1,1/4/2023,12:05:38
171944-14,1,Ni,1,0.174,mg/L,1,1/4/2023,12:05:38
171944-14,1,P,1,17.300,mg/L,1,1/4/2023,12:05:38
171944-14,1,S,1,9.72,mg/L,1,1/4/2023,12:05:38
171944-14,1,Sc,1,Uncal,mg/L,1,1/4/2023,12:05:38
171944-14,1,Si,1,0.707,mg/L,1,1/4/2023,12:05:38
171944-14,1,Sn,1,0.014,mg/L,1,1/4/2023,12:05:38
171944-14,1,Sr,1,0.51,mg/L,1,1/4/2023,12:05:38
171944-14,1,Ti,1,1.110,mg/L,1,1/4/2023,12:05:38
171944-14,1,V,1,0.086,mg/L,1,1/4/2023,12:05:38
171944-14,1,W,1,0.028,mg/L,1,1/4/2023,12:05:38
171944-14,1,Zn,1,0.5750,mg/L,1,1/4/2023,12:05:38
171939-1,1,Ag,1,0.000,mg/L,1,1/4/2023,12:08:22
171939-1,1,Al,1,0.186,mg/L,1,1/4/2023,12:08:22
171939-1,1,Au,1,Uncal,mg/L,1,1/4/2023,12:08:22
171939-1,1,B,1,1.020,mg/L,1,1/4/2023,12:08:22
171939-1,1,Ba,1,0.0041,mg/L,1,1/4/2023,12:08:22
171939-1,1,Be,1,0.000,mg/L,1,1/4/2023,12:08:22
171939-1,1,Ca,1,39.000,mg/L,1,1/4/2023,12:08:22
171939-1,1,Co,1,0.0001,mg/L,1,1/4/2023,12:08:22
171939-1,1,Cr,1,0.0002,mg/L,1,1/4/2023,12:08:22
171939-1,1,Cu,1,0.007,mg/L,1,1/4/2023,12:08:22
171939-1,1,Fe,1,0.231,mg/L,1,1/4/2023,12:08:22
171939-1,1,K,1,0.34,mg/L,1,1/4/2023,12:08:22
171939-1,1,La,1,Uncal,mg/L,1,1/4/2023,12:08:22
171939-1,1,Mg,1,3.11,mg/L,1,1/4/2023,12:08:22
171939-1,1,Mn,1,0.048,mg/L,1,1/4/2023,12:08:22
171939-1,1,Mo,1,0.008,mg/L,1,1/4/2023,12:08:22
171939-1,1,Na,1,40.57,mg/L,1,1/4/2023,12:08:22
171939-1,1,Ni,1,0.000,mg/L,1,1/4/2023,12:08:22
171939-1,1,P,1,0.005,mg/L,1,1/4/2023,12:08:22
171939-1,1,S,1,2.42,mg/L,1,1/4/2023,12:08:22
171939-1,1,Sc,1,Uncal,mg/L,1,1/4/2023,12:08:22
171939-1,1,Si,1,8.950,mg/L,1,1/4/2023,12:08:22
171939-1,1,Sn,1,0.002,mg/L,1,1/4/2023,12:08:22
171939-1,1,Sr,1,0.11,mg/L,1,1/4/2023,12:08:22
171939-1,1,Ti,1,0.001,mg/L,1,1/4/2023,12:08:22
171939-1,1,V,1,0.002,mg/L,1,1/4/2023,12:08:22
171939-1,1,W,1,0.006,mg/L,1,1/4/2023,12:08:22
171939-1,1,Zn,1,0.0327,mg/L,1,1/4/2023,12:08:22
171958-1,1,Ag,1,0.000,mg/L,1,1/4/2023,12:11:04
171958-1,1,Al,1,0.128,mg/L,1,1/4/2023,12:11:04
171958-1,1,Au,1,Uncal,mg/L,1,1/4/2023,12:11:04
171958-1,1,B,1,0.735,mg/L,1,1/4/2023,12:11:04
171958-1,1,Ba,1,0.0047,mg/L,1,1/4/2023,12:11:04
171958-1,1,Be,1,0.000,mg/L,1,1/4/2023,12:11:04
171958-1,1,Ca,1,5.960,mg/L,1,1/4/2023,12:11:04
171958-1,1,Co,1,0.0002,mg/L,1,1/4/2023,12:11:04
171958-1,1,Cr,1,0.0002,mg/L,1,1/4/2023,12:11:04
171958-1,1,Cu,1,0.310,mg/L,1,1/4/2023,12:11:04
171958-1,1,Fe,1,0.452,mg/L,1,1/4/2023,12:11:04
171958-1,1,K,1,1.06,mg/L,1,1/4/2023,12:11:04
171958-1,1,La,1,Uncal,mg/L,1,1/4/2023,12:11:04
171958-1,1,Mg,1,0.93,mg/L,1,1/4/2023,12:11:04
171958-1,1,Mn,1,0.005,mg/L,1,1/4/2023,12:11:04
171958-1,1,Mo,1,0.000,mg/L,1,1/4/2023,12:11:04
171958-1,1,Na,1,20.74,mg/L,1,1/4/2023,12:11:04
171958-1,1,Ni,1,0.001,mg/L,1,1/4/2023,12:11:04
171958-1,1,P,1,0.003,mg/L,1,1/4/2023,12:11:04
171958-1,1,S,1,0.45,mg/L,1,1/4/2023,12:11:04
171958-1,1,Sc,1,Uncal,mg/L,1,1/4/2023,12:11:04
171958-1,1,Si,1,1.620,mg/L,1,1/4/2023,12:11:04
171958-1,1,Sn,1,0.002,mg/L,1,1/4/2023,12:11:04
171958-1,1,Sr,1,0.01,mg/L,1,1/4/2023,12:11:04
171958-1,1,Ti,1,0.001,mg/L,1,1/4/2023,12:11:04
171958-1,1,V,1,0.000,mg/L,1,1/4/2023,12:11:04
171958-1,1,W,1,0.002,mg/L,1,1/4/2023,12:11:04
171958-1,1,Zn,1,0.0295,mg/L,1,1/4/2023,12:11:04
171962-1,1,Ag,1,0.000,mg/L,1,1/4/2023,12:13:47
171962-1,1,Al,1,0.127,mg/L,1,1/4/2023,12:13:47
171962-1,1,Au,1,Uncal,mg/L,1,1/4/2023,12:13:47
171962-1,1,B,1,0.496,mg/L,1,1/4/2023,12:13:47
171962-1,1,Ba,1,0.0342,mg/L,1,1/4/2023,12:13:47
171962-1,1,Be,1,0.000,mg/L,1,1/4/2023,12:13:47
171962-1,1,Ca,1,40.000,mg/L,1,1/4/2023,12:13:47
171962-1,1,Co,1,0.0002,mg/L,1,1/4/2023,12:13:47
171962-1,1,Cr,1,0.0001,mg/L,1,1/4/2023,12:13:47
171962-1,1,Cu,1,0.003,mg/L,1,1/4/2023,12:13:47
171962-1,1,Fe,1,0.332,mg/L,1,1/4/2023,12:13:47
171962-1,1,K,1,0.63,mg/L,1,1/4/2023,12:13:47
171962-1,1,La,1,Uncal,mg/L,1,1/4/2023,12:13:47
171962-1,1,Mg,1,8.85,mg/L,1,1/4/2023,12:13:47
171962-1,1,Mn,1,0.048,mg/L,1,1/4/2023,12:13:47
171962-1,1,Mo,1,0.000,mg/L,1,1/4/2023,12:13:47
171962-1,1,Na,1,2.72,mg/L,1,1/4/2023,12:13:47
171962-1,1,Ni,1,0.001,mg/L,1,1/4/2023,12:13:47
171962-1,1,P,1,-0.003,mg/L,1,1/4/2023,12:13:47
171962-1,1,S,1,0.34,mg/L,1,1/4/2023,12:13:47
171962-1,1,Sc,1,Uncal,mg/L,1,1/4/2023,12:13:47
171962-1,1,Si,1,4.920,mg/L,1,1/4/2023,12:13:47
171962-1,1,Sn,1,0.001,mg/L,1,1/4/2023,12:13:47
171962-1,1,Sr,1,0.04,mg/L,1,1/4/2023,12:13:47
171962-1,1,Ti,1,0.000,mg/L,1,1/4/2023,12:13:47
171962-1,1,V,1,0.001,mg/L,1,1/4/2023,12:13:47
171962-1,1,W,1,0.003,mg/L,1,1/4/2023,12:13:47
171962-1,1,Zn,1,0.0157,mg/L,1,1/4/2023,12:13:47
171958-3,1,Ag,1,0.000,mg/L,1,1/4/2023,12:16:29
171958-3,1,Al,1,0.165,mg/L,1,1/4/2023,12:16:29
171958-3,1,Au,1,Uncal,mg/L,1,1/4/2023,12:16:29
171958-3,1,B,1,0.716,mg/L,1,1/4/2023,12:16:29
171958-3,1,Ba,1,0.0056,mg/L,1,1/4/2023,12:16:29
171958-3,1,Be,1,0.000,mg/L,1,1/4/2023,12:16:29
171958-3,1,Ca,1,4.900,mg/L,1,1/4/2023,12:16:29
171958-3,1,Co,1,0.0002,mg/L,1,1/4/2023,12:16:29
171958-3,1,Cr,1,0.0003,mg/L,1,1/4/2023,12:16:29
171958-3,1,Cu,1,0.120,mg/L,1,1/4/2023,12:16:29
171958-3,1,Fe,1,0.779,mg/L,1,1/4/2023,12:16:29
171958-3,1,K,1,0.87,mg/L,1,1/4/2023,12:16:29
171958-3,1,La,1,Uncal,mg/L,1,1/4/2023,12:16:29
171958-3,1,Mg,1,0.78,mg/L,1,1/4/2023,12:16:29
171958-3,1,Mn,1,0.007,mg/L,1,1/4/2023,12:16:29
171958-3,1,Mo,1,0.000,mg/L,1,1/4/2023,12:16:29
171958-3,1,Na,1,15.98,mg/L,1,1/4/2023,12:16:29
171958-3,1,Ni,1,0.001,mg/L,1,1/4/2023,12:16:29
171958-3,1,P,1,0.000,mg/L,1,1/4/2023,12:16:29
171958-3,1,S,1,0.29,mg/L,1,1/4/2023,12:16:29
171958-3,1,Sc,1,Uncal,mg/L,1,1/4/2023,12:16:29
171958-3,1,Si,1,1.540,mg/L,1,1/4/2023,12:16:29
171958-3,1,Sn,1,0.000,mg/L,1,1/4/2023,12:16:29
171958-3,1,Sr,1,0.01,mg/L,1,1/4/2023,12:16:29
171958-3,1,Ti,1,0.001,mg/L,1,1/4/2023,12:16:29
171958-3,1,V,1,0.000,mg/L,1,1/4/2023,12:16:29
171958-3,1,W,1,0.002,mg/L,1,1/4/2023,12:16:29
171958-3,1,Zn,1,0.0239,mg/L,1,1/4/2023,12:16:29
171949-2,1,Ag,1,0.000,mg/L,1,1/4/2023,12:19:12
171949-2,1,Al,1,0.284,mg/L,1,1/4/2023,12:19:12
171949-2,1,Au,1,Uncal,mg/L,1,1/4/2023,12:19:12
171949-2,1,B,1,0.763,mg/L,1,1/4/2023,12:19:12
171949-2,1,Ba,1,0.0192,mg/L,1,1/4/2023,12:19:12
171949-2,1,Be,1,0.000,mg/L,1,1/4/2023,12:19:12
171949-2,1,Ca,1,103.000,mg/L,1,1/4/2023,12:19:12
171949-2,1,Co,1,0.0008,mg/L,1,1/4/2023,12:19:12
171949-2,1,Cr,1,0.0003,mg/L,1,1/4/2023,12:19:12
171949-2,1,Cu,1,0.360,mg/L,1,1/4/2023,12:19:12
171949-2,1,Fe,1,0.450,mg/L,1,1/4/2023,12:19:12
171949-2,1,K,1,2.91,mg/L,1,1/4/2023,12:19:12
171949-2,1,La,1,Uncal,mg/L,1,1/4/2023,12:19:12
171949-2,1,Mg,1,52.15,mg/L,1,1/4/2023,12:19:12
171949-2,1,Mn,1,0.010,mg/L,1,1/4/2023,12:19:12
171949-2,1,Mo,1,0.003,mg/L,1,1/4/2023,12:19:12
171949-2,1,Na,1,62.55,mg/L,1,1/4/2023,12:19:12
171949-2,1,Ni,1,0.031,mg/L,1,1/4/2023,12:19:12
171949-2,1,P,1,0.003,mg/L,1,1/4/2023,12:19:12
171949-2,1,S,1,14.14,mg/L,1,1/4/2023,12:19:12
171949-2,1,Sc,1,Uncal,mg/L,1,1/4/2023,12:19:12
171949-2,1,Si,1,14.600,mg/L,1,1/4/2023,12:19:12
171949-2,1,Sn,1,0.000,mg/L,1,1/4/2023,12:19:12
171949-2,1,Sr,1,0.39,mg/L,1,1/4/2023,12:19:12
171949-2,1,Ti,1,0.001,mg/L,1,1/4/2023,12:19:12
171949-2,1,V,1,0.003,mg/L,1,1/4/2023,12:19:12
171949-2,1,W,1,0.002,mg/L,1,1/4/2023,12:19:12
171949-2,1,Zn,1,0.0606,mg/L,1,1/4/2023,12:19:12
171962-2,1,Ag,1,0.000,mg/L,1,1/4/2023,12:21:55
171962-2,1,Al,1,0.130,mg/L,1,1/4/2023,12:21:55
171962-2,1,Au,1,Uncal,mg/L,1,1/4/2023,12:21:55
171962-2,1,B,1,0.455,mg/L,1,1/4/2023,12:21:55
171962-2,1,Ba,1,0.0337,mg/L,1,1/4/2023,12:21:55
171962-2,1,Be,1,0.000,mg/L,1,1/4/2023,12:21:55
171962-2,1,Ca,1,39.100,mg/L,1,1/4/2023,12:21:55
171962-2,1,Co,1,0.0002,mg/L,1,1/4/2023,12:21:55
171962-2,1,Cr,1,0.0004,mg/L,1,1/4/2023,12:21:55
171962-2,1,Cu,1,0.033,mg/L,1,1/4/2023,12:21:55
171962-2,1,Fe,1,0.571,mg/L,1,1/4/2023,12:21:55
171962-2,1,K,1,0.62,mg/L,1,1/4/2023,12:21:55
171962-2,1,La,1,Uncal,mg/L,1,1/4/2023,12:21:55
171962-2,1,Mg,1,8.62,mg/L,1,1/4/2023,12:21:55
171962-2,1,Mn,1,0.040,mg/L,1,1/4/2023,12:21:55
171962-2,1,Mo,1,0.001,mg/L,1,1/4/2023,12:21:55
171962-2,1,Na,1,2.55,mg/L,1,1/4/2023,12:21:55
171962-2,1,Ni,1,0.001,mg/L,1,1/4/2023,12:21:55
171962-2,1,P,1,0.002,mg/L,1,1/4/2023,12:21:55
171962-2,1,S,1,0.32,mg/L,1,1/4/2023,12:21:55
171962-2,1,Sc,1,Uncal,mg/L,1,1/4/2023,12:21:55
